,level_0,index,grid_index,OPCINA,Mjesna_zaj,WKT,area,Gross_floor_A_heated_m2,total_heat_demand_kWh_realni_2021_schedule,CO2_emissions_realni_2021_schedule,PM2.5_emissions_realni_2021_schedule,NOx_emissions_realni_2021_schedule,SO2_emissions_realni_2021_schedule,total_heat_demand_MWh_realni_2021_schedule,total_heat_demand_kWh/m2_realni_2021_schedule
40,40,40,18694,TRNOVO,Dejčići,"POLYGON ((2043391.7263781778 5412395.850859159, 2043391.7263781778 5412595.850859159, 2043591.7263781778 5412595.850859159, 2043591.7263781778 5412395.850859159, 2043391.7263781778 5412395.850859159))",40000.0,418.645021600758,45252.13358482776,0.0031316355422026138,0.00010597366989018462,1.8038095457665365e-05,2.4802365596112166e-06,45.25213358482776,108.09189468394678
41,41,41,18991,TRNOVO,Šabići,"POLYGON ((2032991.7263781778 5412595.850859159, 2032991.7263781778 5412795.850859159, 2033191.7263781778 5412795.850859159, 2033191.7263781778 5412595.850859159, 2032991.7263781778 5412595.850859159))",40000.0,1728.0102440605197,139322.6938729503,0.063990874811466,0.00021556468479979457,0.00011034726373742303,0.000537760877893433,139.3226938729503,80.62608098061185
42,42,42,18992,TRNOVO,Šabići,"POLYGON ((2033191.7263781778 5412595.850859159, 2033191.7263781778 5412795.850859159, 2033391.7263781778 5412795.850859159, 2033391.7263781778 5412595.850859159, 2033191.7263781778 5412595.850859159))",40000.0,331.35904642617544,34462.94853267459,0.0023849791372093144,8.070702620900479e-05,1.3737384431160163e-05,1.8888891667949539e-06,34.462948532674595,104.00485184988817
43,43,43,19684,TRNOVO,Šabići,"POLYGON ((2031991.7263781778 5412995.850859159, 2031991.7263781778 5413195.850859159, 2032191.7263781778 5413195.850859159, 2032191.7263781778 5412995.850859159, 2031991.7263781778 5412995.850859159))",40000.0,276.6152297919047,55267.104633887444,0.012905759036725379,8.552981227417818e-05,2.7824601332459748e-05,9.795100581078757e-05,55.26710463388744,199.7977648427544
44,44,44,19757,TRNOVO,Trnovo,"POLYGON ((2046591.7263781778 5412995.850859159, 2046591.7263781778 5413195.850859159, 2046791.7263781778 5413195.850859159, 2046791.7263781778 5412995.850859159, 2046591.7263781778 5412995.850859159))",40000.0,98.73521970078214,13517.412475500145,0.008405785909134544,1.6438854727390005e-05,1.2922078368070763e-05,7.360683187881698e-05,13.517412475500144,136.90568083470893
45,45,45,20032,TRNOVO,Šabići,"POLYGON ((2031791.7263781778 5413195.850859159, 2031791.7263781778 5413395.850859159, 2031991.7263781778 5413395.850859159, 2031991.7263781778 5413195.850859159, 2031791.7263781778 5413195.850859159))",40000.0,111.62100048445575,34414.89713267966,0.002381653780808281,8.05944970794936e-05,1.3718230511304465e-05,1.8862555044774737e-06,34.414897132679656,308.31919605909866
46,46,46,20707,TRNOVO,Šabići,"POLYGON ((2027191.7263781778 5413595.850859159, 2027191.7263781778 5413795.850859159, 2027391.7263781778 5413795.850859159, 2027391.7263781778 5413595.850859159, 2027191.7263781778 5413595.850859159))",40000.0,31.73712741236222,7077.844218005426,0.0004898162088585071,1.6575243359233396e-05,2.8213217703766463e-06,3.879314985186845e-07,7.077844218005426,223.01464546688842
47,47,47,21131,TRNOVO,Dejčići,"POLYGON ((2042191.7263781778 5413795.850859159, 2042191.7263781778 5413995.850859159, 2042391.7263781778 5413995.850859159, 2042391.7263781778 5413795.850859159, 2042191.7263781778 5413795.850859159))",40000.0,242.00655557106046,50401.39336157627,0.01670561677209797,2.8285486452576416e-05,2.5137326557262812e-05,2.9245579055906813e-05,50.40139336157627,208.26457879475458
48,48,48,21756,TRNOVO,Šabići,"POLYGON ((2027591.7263781778 5414195.850859159, 2027591.7263781778 5414395.850859159, 2027791.7263781778 5414395.850859159, 2027791.7263781778 5414195.850859159, 2027591.7263781778 5414195.850859159))",40000.0,214.8978045412495,48768.57299136451,0.011466766683017297,7.936198454219618e-05,2.5168309614083842e-05,8.618794806106476e-05,48.76857299136451,226.9384421840541
49,49,49,21757,TRNOVO,Šabići,"POLYGON ((2027791.7263781778 5414195.850859159, 2027791.7263781778 5414395.850859159, 2027991.7263781778 5414395.850859159, 2027991.7263781778 5414195.850859159, 2027791.7263781778 5414195.850859159))",40000.0,52.27411310962194,17715.26483793657,0.0012259698849783097,4.1486477636098196e-05,7.061537498679664e-06,9.709607930835112e-07,17.715264837936573,338.8917340555659
